Xe, Dieterici eos, values of parameters a and b are close to those in Table 12
Dieterici
   10. 0.001
temp  200.000 K
cm^3/mol torr
    2.72605573770492E+04    4.53194377735161E+02
    2.68208709677419E+04    4.60638470773559E+02
    2.63951428571429E+04    4.67692171195492E+02
    2.59827187500000E+04    4.75136920699169E+02
    2.55829846153846E+04    4.82261584141824E+02
    2.51953636363636E+04    4.89686547181820E+02
    2.48193134328358E+04    4.97173323237528E+02
    2.44543235294118E+04    5.04590615534439E+02
    2.40999130434783E+04    5.11757746294926E+02
    2.37556285714286E+04    5.19194778595942E+02
    2.34210422535211E+04    5.26264627433751E+02
    2.30957500000000E+04    5.33582266036085E+02
    2.27793698630137E+04    5.40911040733094E+02
    2.24715405405405E+04    5.48649118859764E+02
    2.21719200000000E+04    5.55738582058456E+02
    2.18801842105263E+04    5.63325146233011E+02
    2.15960259740260E+04    5.70580088314318E+02
    2.13191538461538E+04    5.77505954603220E+02
    2.10492911392405E+04    5.84935519840473E+02
    2.07861750000000E+04    5.92263801018576E+02
    2.05295555555556E+04    5.99675576697418E+02
    2.02791951219512E+04    6.06837886115754E+02
    2.00348674698795E+04    6.14577370905361E+02
    1.97963571428571E+04    6.21921128564411E+02
    1.95634588235294E+04    6.28993530737832E+02
    1.93359767441860E+04    6.36433743445600E+02
    1.91137241379310E+04    6.43712955397499E+02
    1.88965227272727E+04    6.51130842914667E+02
    1.86842022471910E+04    6.58227660088393E+02
    1.84766000000000E+04    6.65328394697756E+02
    1.82735604395604E+04    6.72366178167374E+02
    1.80749347826087E+04    6.79999674068345E+02
    1.78805806451613E+04    6.86942485733138E+02
    1.76903617021277E+04    6.94223110877913E+02
    1.75041473684211E+04    7.01767751690280E+02
    1.73218125000000E+04    7.09193254397460E+02
    1.71432371134021E+04    7.16687450400872E+02
    1.69683061224490E+04    7.23579929270553E+02
    1.67969090909091E+04    7.30905174715116E+02
    1.66289400000000E+04    7.37883439328504E+02
    1.64642970297030E+04    7.45613896751387E+02
    1.63028823529412E+04    7.52426712581390E+02
    1.61446019417476E+04    7.60097569806064E+02
    1.59893653846154E+04    7.66887518568887E+02
    1.58370857142857E+04    7.74344330894638E+02
    1.56876792452830E+04    7.81804402307418E+02
    1.55410654205607E+04    7.88578454955252E+02
    1.53971666666667E+04    7.96331591060175E+02
    1.52559082568807E+04    8.03618415227795E+02
    1.51172181818182E+04    8.10625863659079E+02
    1.49810270270270E+04    8.17485878561148E+02
    1.48472678571429E+04    8.24871301465515E+02
    1.47158761061947E+04    8.32438538865045E+02
    1.45867894736842E+04    8.39164700560897E+02
    1.44599478260870E+04    8.47128235817831E+02
    1.43352931034483E+04    8.54366837898328E+02
    1.42127692307692E+04    8.61543903123127E+02
    1.40923220338983E+04    8.68701637452525E+02
    1.39738991596639E+04    8.75590653778688E+02
    1.38574500000000E+04    8.83237295275328E+02
    1.37429256198347E+04    8.89804515511916E+02
    1.36302786885246E+04    8.97285815855944E+02
    1.35194634146341E+04    9.04894874740011E+02
    1.34104354838710E+04    9.12221248308927E+02
    1.33031520000000E+04    9.18719232533877E+02
    1.31975714285714E+04    9.26325793230732E+02
    1.30936535433071E+04    9.33594311192893E+02
    1.29913593750000E+04    9.40114139269404E+02
    1.28906511627907E+04    9.48098837449099E+02
    1.27914923076923E+04    9.54498496115326E+02
