mercury,Y,Venus,Y,Earth,Y,Mars,Y
4.59E+07,4.03E+06,1.07E+08,6.16E+06,1.47E+08,8.60E+06,2.06E+08,1.41E+07
4.59E+07,4.08E+06,1.07E+08,6.23E+06,1.47E+08,8.69E+06,2.06E+08,1.43E+07
4.58E+07,4.12E+06,1.07E+08,6.29E+06,1.47E+08,8.79E+06,2.06E+08,1.45E+07
4.58E+07,4.16E+06,1.07E+08,6.36E+06,1.47E+08,8.89E+06,2.06E+08,1.46E+07
4.58E+07,4.21E+06,1.07E+08,6.43E+06,1.47E+08,8.98E+06,2.06E+08,1.48E+07
4.58E+07,4.25E+06,1.07E+08,6.50E+06,1.47E+08,9.08E+06,2.06E+08,1.49E+07
4.58E+07,4.30E+06,1.07E+08,6.57E+06,1.47E+08,9.17E+06,2.06E+08,1.51E+07
4.58E+07,4.34E+06,1.07E+08,6.64E+06,1.47E+08,9.27E+06,2.06E+08,1.52E+07
4.58E+07,4.39E+06,1.07E+08,6.70E+06,1.47E+08,9.36E+06,2.06E+08,1.54E+07
4.58E+07,4.43E+06,1.07E+08,6.77E+06,1.47E+08,9.46E+06,2.06E+08,1.56E+07
4.58E+07,4.48E+06,1.07E+08,6.84E+06,1.47E+08,9.55E+06,2.06E+08,1.57E+07
4.58E+07,4.52E+06,1.07E+08,6.91E+06,1.47E+08,9.65E+06,2.06E+08,1.59E+07
4.58E+07,4.57E+06,1.07E+08,6.98E+06,1.47E+08,9.74E+06,2.06E+08,1.60E+07
4.58E+07,4.61E+06,1.07E+08,7.05E+06,1.47E+08,9.84E+06,2.06E+08,1.62E+07
4.58E+07,4.66E+06,1.07E+08,7.11E+06,1.47E+08,9.93E+06,2.06E+08,1.63E+07
4.58E+07,4.70E+06,1.07E+08,7.18E+06,1.47E+08,1.00E+07,2.06E+08,1.65E+07
4.58E+07,4.75E+06,1.07E+08,7.25E+06,1.47E+08,1.01E+07,2.06E+08,1.67E+07
4.58E+07,4.79E+06,1.07E+08,7.32E+06,1.47E+08,1.02E+07,2.06E+08,1.68E+07
4.58E+07,4.83E+06,1.07E+08,7.39E+06,1.47E+08,1.03E+07,2.06E+08,1.70E+07
4.58E+07,4.88E+06,1.07E+08,7.46E+06,1.47E+08,1.04E+07,2.06E+08,1.71E+07
4.58E+07,4.92E+06,1.07E+08,7.52E+06,1.47E+08,1.05E+07,2.06E+08,1.73E+07
4.58E+07,4.97E+06,1.07E+08,7.59E+06,1.47E+08,1.06E+07,2.06E+08,1.74E+07
4.58E+07,5.01E+06,1.07E+08,7.66E+06,1.47E+08,1.07E+07,2.06E+08,1.76E+07
4.58E+07,5.06E+06,1.07E+08,7.73E+06,1.47E+08,1.08E+07,2.06E+08,1.78E+07
4.58E+07,5.10E+06,1.07E+08,7.80E+06,1.47E+08,1.09E+07,2.06E+08,1.79E+07
4.58E+07,5.15E+06,1.07E+08,7.87E+06,1.47E+08,1.10E+07,2.06E+08,1.81E+07
4.58E+07,5.19E+06,1.07E+08,7.93E+06,1.47E+08,1.11E+07,2.06E+08,1.82E+07
4.58E+07,5.24E+06,1.07E+08,8.00E+06,1.47E+08,1.12E+07,2.06E+08,1.84E+07
4.57E+07,5.28E+06,1.07E+08,8.07E+06,1.47E+08,1.13E+07,2.06E+08,1.85E+07
4.57E+07,5.33E+06,1.07E+08,8.14E+06,1.47E+08,1.14E+07,2.06E+08,1.87E+07
4.57E+07,5.37E+06,1.07E+08,8.21E+06,1.47E+08,1.15E+07,2.06E+08,1.89E+07
4.57E+07,5.41E+06,1.07E+08,8.28E+06,1.47E+08,1.16E+07,2.06E+08,1.90E+07
4.57E+07,5.46E+06,1.07E+08,8.34E+06,1.47E+08,1.17E+07,2.06E+08,1.92E+07
4.57E+07,5.50E+06,1.07E+08,8.41E+06,1.47E+08,1.17E+07,2.06E+08,1.93E+07
4.57E+07,5.55E+06,1.07E+08,8.48E+06,1.47E+08,1.18E+07,2.06E+08,1.95E+07
4.57E+07,5.59E+06,1.07E+08,8.55E+06,1.47E+08,1.19E+07,2.06E+08,1.96E+07
4.57E+07,5.64E+06,1.07E+08,8.62E+06,1.47E+08,1.20E+07,2.06E+08,1.98E+07
4.57E+07,5.68E+06,1.07E+08,8.69E+06,1.47E+08,1.21E+07,2.06E+08,1.99E+07
4.57E+07,5.73E+06,1.07E+08,8.75E+06,1.47E+08,1.22E+07,2.06E+08,2.01E+07
4.57E+07,5.77E+06,1.07E+08,8.82E+06,1.47E+08,1.23E+07,2.06E+08,2.03E+07
4.57E+07,5.82E+06,1.07E+08,8.89E+06,1.47E+08,1.24E+07,2.06E+08,2.04E+07
4.57E+07,5.86E+06,1.07E+08,8.96E+06,1.47E+08,1.25E+07,2.06E+08,2.06E+07
4.57E+07,5.90E+06,1.07E+08,9.03E+06,1.47E+08,1.26E+07,2.06E+08,2.07E+07
4.57E+07,5.95E+06,1.07E+08,9.09E+06,1.47E+08,1.27E+07,2.06E+08,2.09E+07
4.57E+07,5.99E+06,1.07E+08,9.16E+06,1.47E+08,1.28E+07,2.06E+08,2.10E+07
4.57E+07,6.04E+06,1.07E+08,9.23E+06,1.47E+08,1.29E+07,2.06E+08,2.12E+07
4.57E+07,6.08E+06,1.07E+08,9.30E+06,1.47E+08,1.30E+07,2.06E+08,2.14E+07
4.57E+07,6.13E+06,1.07E+08,9.37E+06,1.47E+08,1.31E+07,2.06E+08,2.15E+07
4.57E+07,6.17E+06,1.07E+08,9.44E+06,1.47E+08,1.32E+07,2.06E+08,2.17E+07
4.57E+07,6.22E+06,1.07E+08,9.50E+06,1.47E+08,1.33E+07,2.06E+08,2.18E+07
4.56E+07,6.26E+06,1.07E+08,9.57E+06,1.46E+08,1.34E+07,2.06E+08,2.20E+07
4.56E+07,6.30E+06,1.07E+08,9.64E+06,1.46E+08,1.35E+07,2.06E+08,2.21E+07
4.56E+07,6.35E+06,1.07E+08,9.71E+06,1.46E+08,1.36E+07,2.06E+08,2.23E+07
4.56E+07,6.39E+06,1.07E+08,9.78E+06,1.46E+08,1.37E+07,2.06E+08,2.25E+07
4.56E+07,6.44E+06,1.07E+08,9.84E+06,1.46E+08,1.37E+07,2.05E+08,2.26E+07
4.56E+07,6.48E+06,1.07E+08,9.91E+06,1.46E+08,1.38E+07,2.05E+08,2.28E+07
4.56E+07,6.53E+06,1.07E+08,9.98E+06,1.46E+08,1.39E+07,2.05E+08,2.29E+07
4.56E+07,6.57E+06,1.07E+08,1.00E+07,1.46E+08,1.40E+07,2.05E+08,2.31E+07
4.56E+07,6.62E+06,1.07E+08,1.01E+07,1.46E+08,1.41E+07,2.05E+08,2.32E+07
4.56E+07,6.66E+06,1.07E+08,1.02E+07,1.46E+08,1.42E+07,2.05E+08,2.34E+07
4.56E+07,6.71E+06,1.07E+08,1.03E+07,1.46E+08,1.43E+07,2.05E+08,2.35E+07
4.56E+07,6.75E+06,1.07E+08,1.03E+07,1.46E+08,1.44E+07,2.05E+08,2.37E+07
4.56E+07,6.79E+06,1.07E+08,1.04E+07,1.46E+08,1.45E+07,2.05E+08,2.39E+07
4.56E+07,6.84E+06,1.07E+08,1.05E+07,1.46E+08,1.46E+07,2.05E+08,2.40E+07
4.56E+07,6.88E+06,1.07E+08,1.05E+07,1.46E+08,1.47E+07,2.05E+08,2.42E+07
4.56E+07,6.93E+06,1.07E+08,1.06E+07,1.46E+08,1.48E+07,2.05E+08,2.43E+07
4.56E+07,6.97E+06,1.07E+08,1.07E+07,1.46E+08,1.49E+07,2.05E+08,2.45E+07
4.56E+07,7.02E+06,1.07E+08,1.07E+07,1.46E+08,1.50E+07,2.05E+08,2.46E+07
4.55E+07,7.06E+06,1.07E+08,1.08E+07,1.46E+08,1.51E+07,2.05E+08,2.48E+07
4.55E+07,7.10E+06,1.07E+08,1.09E+07,1.46E+08,1.52E+07,2.05E+08,2.50E+07
4.55E+07,7.15E+06,1.07E+08,1.09E+07,1.46E+08,1.53E+07,2.05E+08,2.51E+07
4.55E+07,7.19E+06,1.07E+08,1.10E+07,1.46E+08,1.54E+07,2.05E+08,2.53E+07
4.55E+07,7.24E+06,1.07E+08,1.11E+07,1.46E+08,1.55E+07,2.05E+08,2.54E+07
4.55E+07,7.28E+06,1.07E+08,1.11E+07,1.46E+08,1.56E+07,2.05E+08,2.56E+07
4.55E+07,7.33E+06,1.07E+08,1.12E+07,1.46E+08,1.56E+07,2.05E+08,2.57E+07
4.55E+07,7.37E+06,1.07E+08,1.13E+07,1.46E+08,1.57E+07,2.05E+08,2.59E+07
4.55E+07,7.42E+06,1.07E+08,1.13E+07,1.46E+08,1.58E+07,2.05E+08,2.60E+07
4.55E+07,7.46E+06,1.07E+08,1.14E+07,1.46E+08,1.59E+07,2.05E+08,2.62E+07
4.55E+07,7.50E+06,1.07E+08,1.15E+07,1.46E+08,1.60E+07,2.05E+08,2.64E+07
4.55E+07,7.55E+06,1.07E+08,1.15E+07,1.46E+08,1.61E+07,2.05E+08,2.65E+07
4.55E+07,7.59E+06,1.07E+08,1.16E+07,1.46E+08,1.62E+07,2.05E+08,2.67E+07
4.55E+07,7.64E+06,1.07E+08,1.17E+07,1.46E+08,1.63E+07,2.05E+08,2.68E+07
4.55E+07,7.68E+06,1.07E+08,1.18E+07,1.46E+08,1.64E+07,2.05E+08,2.70E+07
4.55E+07,7.73E+06,1.07E+08,1.18E+07,1.46E+08,1.65E+07,2.05E+08,2.71E+07
4.55E+07,7.77E+06,1.07E+08,1.19E+07,1.46E+08,1.66E+07,2.05E+08,2.73E+07
4.54E+07,7.81E+06,1.07E+08,1.20E+07,1.46E+08,1.67E+07,2.05E+08,2.75E+07
4.54E+07,7.86E+06,1.07E+08,1.20E+07,1.46E+08,1.68E+07,2.05E+08,2.76E+07
4.54E+07,7.90E+06,1.07E+08,1.21E+07,1.46E+08,1.69E+07,2.05E+08,2.78E+07
4.54E+07,7.95E+06,1.07E+08,1.22E+07,1.46E+08,1.70E+07,2.05E+08,2.79E+07
4.54E+07,7.99E+06,1.07E+08,1.22E+07,1.46E+08,1.71E+07,2.05E+08,2.81E+07
4.54E+07,8.04E+06,1.07E+08,1.23E+07,1.46E+08,1.72E+07,2.05E+08,2.82E+07
4.54E+07,8.08E+06,1.07E+08,1.24E+07,1.46E+08,1.73E+07,2.05E+08,2.84E+07
4.54E+07,8.12E+06,1.07E+08,1.24E+07,1.46E+08,1.74E+07,2.05E+08,2.85E+07
4.54E+07,8.17E+06,1.07E+08,1.25E+07,1.46E+08,1.75E+07,2.05E+08,2.87E+07
4.54E+07,8.21E+06,1.07E+08,1.26E+07,1.46E+08,1.75E+07,2.05E+08,2.89E+07
4.54E+07,8.26E+06,1.07E+08,1.26E+07,1.46E+08,1.76E+07,2.05E+08,2.90E+07
4.54E+07,8.30E+06,1.07E+08,1.27E+07,1.46E+08,1.77E+07,2.05E+08,2.92E+07
4.54E+07,8.35E+06,1.07E+08,1.28E+07,1.46E+08,1.78E+07,2.05E+08,2.93E+07
4.54E+07,8.39E+06,1.07E+08,1.28E+07,1.46E+08,1.79E+07,2.05E+08,2.95E+07
4.54E+07,8.43E+06,1.07E+08,1.29E+07,1.46E+08,1.80E+07,2.05E+08,2.96E+07
4.53E+07,8.48E+06,1.07E+08,1.30E+07,1.46E+08,1.81E+07,2.05E+08,2.98E+07
4.53E+07,8.52E+06,1.07E+08,1.30E+07,1.46E+08,1.82E+07,2.05E+08,2.99E+07
4.53E+07,8.57E+06,1.07E+08,1.31E+07,1.46E+08,1.83E+07,2.05E+08,3.01E+07
4.53E+07,8.61E+06,1.07E+08,1.32E+07,1.46E+08,1.84E+07,2.05E+08,3.03E+07
4.53E+07,8.65E+06,1.07E+08,1.32E+07,1.46E+08,1.85E+07,2.05E+08,3.04E+07
4.53E+07,8.70E+06,1.07E+08,1.33E+07,1.46E+08,1.86E+07,2.05E+08,3.06E+07
4.53E+07,8.74E+06,1.07E+08,1.34E+07,1.46E+08,1.87E+07,2.05E+08,3.07E+07
4.53E+07,8.79E+06,1.07E+08,1.35E+07,1.46E+08,1.88E+07,2.04E+08,3.09E+07
4.53E+07,8.83E+06,1.07E+08,1.35E+07,1.46E+08,1.89E+07,2.04E+08,3.10E+07
4.53E+07,8.88E+06,1.07E+08,1.36E+07,1.46E+08,1.90E+07,2.04E+08,3.12E+07
4.53E+07,8.92E+06,1.07E+08,1.37E+07,1.46E+08,1.91E+07,2.04E+08,3.14E+07
4.53E+07,8.96E+06,1.07E+08,1.37E+07,1.46E+08,1.92E+07,2.04E+08,3.15E+07
4.53E+07,9.01E+06,1.07E+08,1.38E+07,1.46E+08,1.93E+07,2.04E+08,3.17E+07
4.53E+07,9.05E+06,1.07E+08,1.39E+07,1.46E+08,1.94E+07,2.04E+08,3.18E+07
4.52E+07,9.10E+06,1.07E+08,1.39E+07,1.46E+08,1.94E+07,2.04E+08,3.20E+07
4.52E+07,9.14E+06,1.07E+08,1.40E+07,1.46E+08,1.95E+07,2.04E+08,3.21E+07
4.52E+07,9.18E+06,1.07E+08,1.41E+07,1.46E+08,1.96E+07,2.04E+08,3.23E+07
4.52E+07,9.23E+06,1.07E+08,1.41E+07,1.46E+08,1.97E+07,2.04E+08,3.24E+07
4.52E+07,9.27E+06,1.07E+08,1.42E+07,1.46E+08,1.98E+07,2.04E+08,3.26E+07
4.52E+07,9.32E+06,1.07E+08,1.43E+07,1.46E+08,1.99E+07,2.04E+08,3.28E+07
4.52E+07,9.36E+06,1.07E+08,1.43E+07,1.46E+08,2.00E+07,2.04E+08,3.29E+07
4.52E+07,9.40E+06,1.07E+08,1.44E+07,1.46E+08,2.01E+07,2.04E+08,3.31E+07
4.52E+07,9.45E+06,1.07E+08,1.45E+07,1.46E+08,2.02E+07,2.04E+08,3.32E+07
4.52E+07,9.49E+06,1.06E+08,1.45E+07,1.46E+08,2.03E+07,2.04E+08,3.34E+07
4.52E+07,9.54E+06,1.06E+08,1.46E+07,1.46E+08,2.04E+07,2.04E+08,3.35E+07
4.52E+07,9.58E+06,1.06E+08,1.47E+07,1.46E+08,2.05E+07,2.04E+08,3.37E+07
4.52E+07,9.62E+06,1.06E+08,1.47E+07,1.46E+08,2.06E+07,2.04E+08,3.38E+07
4.52E+07,9.67E+06,1.06E+08,1.48E+07,1.46E+08,2.07E+07,2.04E+08,3.40E+07
4.51E+07,9.71E+06,1.06E+08,1.49E+07,1.46E+08,2.08E+07,2.04E+08,3.41E+07
4.51E+07,9.76E+06,1.06E+08,1.49E+07,1.46E+08,2.09E+07,2.04E+08,3.43E+07
4.51E+07,9.80E+06,1.06E+08,1.50E+07,1.46E+08,2.10E+07,2.04E+08,3.45E+07
4.51E+07,9.84E+06,1.06E+08,1.51E+07,1.46E+08,2.11E+07,2.04E+08,3.46E+07
4.51E+07,9.89E+06,1.06E+08,1.51E+07,1.46E+08,2.12E+07,2.04E+08,3.48E+07
4.51E+07,9.93E+06,1.06E+08,1.52E+07,1.46E+08,2.12E+07,2.04E+08,3.49E+07
4.51E+07,9.98E+06,1.06E+08,1.53E+07,1.46E+08,2.13E+07,2.04E+08,3.51E+07
4.51E+07,1.00E+07,1.06E+08,1.54E+07,1.46E+08,2.14E+07,2.04E+08,3.52E+07
4.51E+07,1.01E+07,1.06E+08,1.54E+07,1.46E+08,2.15E+07,2.04E+08,3.54E+07
4.51E+07,1.01E+07,1.06E+08,1.55E+07,1.46E+08,2.16E+07,2.04E+08,3.55E+07
4.51E+07,1.02E+07,1.06E+08,1.56E+07,1.46E+08,2.17E+07,2.04E+08,3.57E+07
4.51E+07,1.02E+07,1.06E+08,1.56E+07,1.45E+08,2.18E+07,2.04E+08,3.59E+07
4.50E+07,1.02E+07,1.06E+08,1.57E+07,1.45E+08,2.19E+07,2.04E+08,3.60E+07
4.50E+07,1.03E+07,1.06E+08,1.58E+07,1.45E+08,2.20E+07,2.04E+08,3.62E+07
4.50E+07,1.03E+07,1.06E+08,1.58E+07,1.45E+08,2.21E+07,2.04E+08,3.63E+07
4.50E+07,1.04E+07,1.06E+08,1.59E+07,1.45E+08,2.22E+07,2.04E+08,3.65E+07
4.50E+07,1.04E+07,1.06E+08,1.60E+07,1.45E+08,2.23E+07,2.04E+08,3.66E+07
4.50E+07,1.05E+07,1.06E+08,1.60E+07,1.45E+08,2.24E+07,2.04E+08,3.68E+07
4.50E+07,1.05E+07,1.06E+08,1.61E+07,1.45E+08,2.25E+07,2.04E+08,3.69E+07
4.50E+07,1.05E+07,1.06E+08,1.62E+07,1.45E+08,2.26E+07,2.04E+08,3.71E+07
4.50E+07,1.06E+07,1.06E+08,1.62E+07,1.45E+08,2.27E+07,2.04E+08,3.73E+07
4.50E+07,1.06E+07,1.06E+08,1.63E+07,1.45E+08,2.28E+07,2.04E+08,3.74E+07
4.50E+07,1.07E+07,1.06E+08,1.64E+07,1.45E+08,2.29E+07,2.03E+08,3.76E+07
4.50E+07,1.07E+07,1.06E+08,1.64E+07,1.45E+08,2.29E+07,2.03E+08,3.77E+07
4.49E+07,1.08E+07,1.06E+08,1.65E+07,1.45E+08,2.30E+07,2.03E+08,3.79E+07
4.49E+07,1.08E+07,1.06E+08,1.66E+07,1.45E+08,2.31E+07,2.03E+08,3.80E+07
4.49E+07,1.09E+07,1.06E+08,1.66E+07,1.45E+08,2.32E+07,2.03E+08,3.82E+07
4.49E+07,1.09E+07,1.06E+08,1.67E+07,1.45E+08,2.33E+07,2.03E+08,3.83E+07
4.49E+07,1.09E+07,1.06E+08,1.68E+07,1.45E+08,2.34E+07,2.03E+08,3.85E+07
4.49E+07,1.10E+07,1.06E+08,1.68E+07,1.45E+08,2.35E+07,2.03E+08,3.86E+07
4.49E+07,1.10E+07,1.06E+08,1.69E+07,1.45E+08,2.36E+07,2.03E+08,3.88E+07
4.49E+07,1.11E+07,1.06E+08,1.70E+07,1.45E+08,2.37E+07,2.03E+08,3.90E+07
4.49E+07,1.11E+07,1.06E+08,1.70E+07,1.45E+08,2.38E+07,2.03E+08,3.91E+07
4.49E+07,1.12E+07,1.06E+08,1.71E+07,1.45E+08,2.39E+07,2.03E+08,3.93E+07
